Simulation,Exp1,Exp2,Exp3
1,53,86,141
2,50,101,144
3,48,107,141
4,50,97,148
5,49,102,139
6,50,96,134
7,48,103,157
8,45,94,150
9,50,95,148
10,47,92,146
11,49,102,139
12,50,100,136
13,49,100,149
14,49,93,137
15,46,96,146
16,49,110,143
17,53,93,136
18,47,97,152
19,46,94,155
20,51,92,154
21,43,91,155
22,46,100,145
23,50,103,139
24,50,92,143
25,48,93,145
26,50,102,143
27,51,95,136
28,54,96,149
29,48,99,147
30,45,99,148
31,44,93,153
32,50,99,149
33,49,106,143
34,44,102,141
35,51,94,149
36,48,93,156
37,48,94,144
38,49,104,153
39,53,97,150
40,50,101,155
41,51,95,154
42,46,100,143
43,48,91,150
44,47,92,146
45,45,96,144
46,51,94,145
47,53,95,149
48,50,93,153
49,46,97,142
50,48,95,143
